Id,Label,phase,Help
0,CEED TECH,3,CEED
1,CreatiFi,3,CREA
3,EuropeanPioneers,3,Euro
4,FABulous,3,FABu
5,FI-Adopt,3,FIAd
6,FI-C3,3,FICO
11,FICHe,3,FICH
15,Finish,3,Fini
16,FINODEX,3,FINO
19,FRACTALS,3,Frac
20,FrontierCities,3,Fron
21,IMpaCT,3,IMpa
22,INCENSe,3,INCE
29,SOUL-FI,3,SOUL
30,SpeedUp_Europe,3,Spee
8,FI-Content 2,2,
9,FI-Space,2,
10,FI-STAR,2,
13,FINESCE,2,
18,FITMAN,2,
28,SmartAgriFood2,3,Smar
2,ENVIROFI,1,
7,FI-CONTENT,1,
12,Ficontent,1,
14,FINEST,1,
17,FINSENY,1,
23,INFINITY,1,
24,INSTANT MOBILITY,1,
25,OUTSMART,1,
26,SAFECITY,1,
27,SMARTAGRIFOOD1,1,